Title,Artist,Album
Confessions (feat. HEESEUNG & JAKE of ENHYPEN x Paul Russell),Flo Rida,Confessions (feat. HEESEUNG & JAKE of ENHYPEN x Paul Russell)
What Doesn't Kill You (Stronger),Kelly Clarkson,Stronger
Inertia,AJR,The Maybe Man
Supernatural,Ke$ha,Warrior (Deluxe Version)
Sour Diesel,Zayn,Sour Diesel
Dance Again,Selena Gomez,Rare
THE GIRLS - BLACKPINK THE GAME OST,BLACKPINK,THE GIRLS (BLACKPINK THE GAME OST)
Plastic Box,Jade,Plastic Box
House Arrest Tingz,YoungBoy Never Broke Again,Top
SUBSTANCE,Demi Lovato,SUBSTANCE
Out Alive,Ke$ha,Warrior (Deluxe Version)
Pornography,Travis Scott,Rodeo (expanded edition)
THE GIRLS (BLACKPINK THE GAME OST),BLACKPINK,THE GIRLS (BLACKPINK THE GAME OST) - Single
I Can Tell,Travis Scott,Rodeo (expanded edition)
Ch y la Pizza,Fuerza Regida,Ch y la Pizza
Ring,Selena Gomez,Rare
Finer Things,Polo G,Finer Things
I THOUGHT THAT I NEEDED YOU,The Kid LAROI,
Take Me to the Beach (feat. Ado),Imagine Dragons,Take Me to the Beach (feat. Ado) - Single
Want You in My Room,Carly Rae Jepsen,Spotify Singles
Heartbreak Weather,Niall Horan,Songs For The Summer
DOLL,Scandal,Scandal
From Austin,Zach Bryan,From Austin - Single
Still,Niall Horan,Niall's Mix
Loneliness,Annie Lennox,Bare
React,The Pussycat Dolls,"The Dome, Vol. 94"
Pray 4 Love (feat. The Weeknd),Travis Scott,Rodeo (Deluxe)
RUNNING,NF,HOPE
Ghost Avenue,Eve,Ghost Avenue
Godlight,Noah Kahan,I Was / I Am
Cry,Carly Rae Jepsen,E•MO•TION: Side B
Insomnia,Eve,Insomnia
Maybe Man,AJR,The Maybe Man
concert for aliens,Machine Gun Kelly,Tickets To My Downfall (SOLD OUT Deluxe)
The DJ Is Crying For Help,AJR,The DJ Is Crying For Help
Right Now,PARTYNEXTDOOR & Drake,
Fly Like a Bird,Mariah Carey,The Emancipation of Mimi
What Could Have Been feat. Ray Chen (from the series Arcane League of Legends),Sting,
Everywhere,Niall Horan,Niall's Mix
Talkin' Tennessee,Morgan Wallen,If I Know Me
Zero Gravity,David Archuleta,Fan Pack - EP
Fade Into Me,David Cook,This Loud Morning
Igualito a Mi Apá,Fuerza Regida,Pa Que Hablen
Whip It,Nicki Minaj,Pink Friday ... Roman Reloaded
MOTTO,NF,HOPE
After The Club,Hi-Five,The Return
Why Don't You Believe Me,Joni James,Dedicated to You!
Country Girl,Jeannie C. Riley,Good Old Country
How Important Can It Be,Joni James,Dedicated to You!
Heaven Sent,The Contours,Under Love's Control
Burnin' hot,L.T.D.,Love magic
My Little Corner of the World,Anita Bryant,The Very Best Of
Heavy Eyes,Zach Bryan,American Heartbreak
Move On - Bonus,Lil Tjay,
Glassheart,Leona Lewis,Glassheart
He Like That,Fifth Harmony,Fifth Harmony
ICARUS,Dino,"CASTAWAY DIVA (Original Soundtrack), Pt. 3 - Single"
Oakland Stroke,Tony Toni Tone,The Revival
Keep Me in Mind,Lynn Anderson,16 Biggest Hits
Kororon,Eve,Bokurano - EP
I've Been Everywhere,Lynn Anderson,The Best Of The Johnny Cash TV Show
Shoujo S,Scandal,Shoujo S
Superstar,Silk,Tonight
Barefootin',The Marvelettes,The Marvelettes
With My Honey,En Vogue,The Gift of Christmas
You Are My Love,Joni James,Platinum & Gold: The Mgm Years
UNA CERVEZA,Fuerza Regida,Pa las Baby's Y Belikeada
Fifth of May,Zach Bryan,The Greatest Day of My Life
Promiscuous,Cameo,Machismo
Started,Iggy Azalea,In My Defense
I See You,Leona Lewis,Avatar Music From The Motion Picture Music Composed And Conducted By James Horner
There's a Party Goin' On,Jody Miller,Anthology
Determination,The Miracles,The 35th Anniversary Collection
That Kind of Woman,Dua Lipa,Future Nostalgia: The Moonlight Edition
Oceans,Evanescence,Evanescence
why are you here,Machine Gun Kelly,why are you here
Unholy,Miley Cyrus,SHE IS COMING [Clean]
Show Her,Ronnie Milsap,The Essential Ronnie Milsap
D.T.B. (Interlude),A Boogie Wit da Hoodie,Artist
LOVE SURVIVE,Scandal,Scandal
Hurt,Juice Newton,Anthology
FREEDDAWG,YoungBoy Never Broke Again,FREEDDAWG - Single
None of Your Love - Bonus,Lil Tjay,
More Than Life (Feat. Glaive),Machine Gun Kelly,More Than Life (feat. Glaive)
Optimistic,Skeeter Davis,The Essential Skeeter Davis
IN A DREAM,Troye Sivan,In A Dream (Bonus Track Version)
How Do I Turn You On,Ronnie Milsap,The Essential Ronnie Milsap
Where Do the Nights Go,Ronnie Milsap,The Essential Ronnie Milsap
The Thrill Is Gone,Fantasia,
The Best Year Of My Life,Eddie Rabbitt,Number One Hits
Skeezers,A Boogie Wit da Hoodie,Hoodie SZN
Voodoo,Adam Lambert,For Your Entertainment (Deluxe Version)
STUD,Troye Sivan,In A Dream (Bonus Track Version)
F o r C e r t a i n,PARTYNEXTDOOR & Drake,
The Change,Evanescence,Evanescence
Internet Sensation,Lil Durk,Hip Hop & Rap - Våren 2021
Violet Chemistry,Miley Cyrus,Endless Summer Vacation
TROLLZ (with Nicki Minaj),6ix9ine,
Murder Business,YoungBoy Never Broke Again,Tracks from Top
2 seconds - Bonus,Jhene Aiko,
Never Go Back,Evanescence,Evanescence
Gonna Get Along Without Ya Now,Skeeter Davis,Highlight On Lady Rock
Hats Off (feat. Travis Scott),Lil Baby,
Whatya Want From Me,Adam Lambert,Best Of 2010 - Die Zweite
LaserLight (feat. David Guetta),Jessie J,Who You Are (Bonus Video Deluxe Edition)
Flexin',Pop Smoke,Flexin'
Unapologetic (with NLE Choppa),Polo G,
The Void,Kid Cudi,Man on the Moon III: The Chosen
Christopher Walking,Pop Smoke,100% Rap
Poison Ivy,Tory Lanez,Alone at Prom (Deluxe) [Explicit]
Sprung On It,After 7,Reflections
My Mine,Jhene Aiko,Sailing Soul(s)
FREAK IN YOU,PARTYNEXTDOOR & Drake,
Angel Numbers / Ten Toes,Chris Brown,11:11
Nobody - from Kaiju No. 8,OneRepublic,
4 Min Convo (Favorite Song),A Boogie Wit da Hoodie,Hoodie SZN
love yourself (interlude),XXXTENTACION,?
Chip On My Shoulder,Rod Wave,Ghetto Gospel
Cheer Me On,Malcolm Todd,Malcolm Todd
Zip Up My Fly,Malcolm Todd,Malcolm Todd (still) [Explicit]
Down (Ft. Lil Wayne),Jay Sean,
Dirty Dancing,New Kids On The Block,The Block
Something,Martha & The Vandellas,Motown Meets The Beatles
Something,Martha Reeves & The Vandellas,Motown Meets The Beatles
Welcome to the Rodeo,Lil Skies,Life of a Dark Rose
I Never Promised You a Rose Garden,Lynn Anderson,Rosey Lynn Anderson - [The Dave Cash Collection]
Silverado for Sale,Morgan Wallen,Dangerous: The Double Album
Replay,Sean Kingston,
PTSD,Pop Smoke,"Meet the Woo, v.1 Mixtape"
Inhale,Bryson Tiller,Anniversary
I Want to Love You Down,Keith Sweat,Keep It Comin'
Goodbye To The Girl,David Cook,This Loud Morning
Don't Say You Love Me,Fifth Harmony,Fifth Harmony
(Without You) What Do I Do With Me,Tanya Tucker,20 Greatest Hits
Keep It On The Real,Xscape,Off The Hook
Angel,Fifth Harmony,Fifth Harmony
concrete,Malcolm Todd,Malcolm Todd
Constant Bullshit,Summer Walker,Still Over It
you are my sunshine,Christina Perri,songs for carmella: lullabies & sing-a-longs
Show Me Up,Lil Tecca,Hip-Hop & Rap Hits
Freak Nasty,Megan Thee Stallion,Tina Snow
Makeover,David Cook,Analog Heart
Rager teenager!,Troye Sivan,Teen Angst
Taste,Lil Tecca,TASTE [Clean] [Clean]
Poison,Rod Wave,Ghetto Gospel
Someone Else - Lost Tapes 2015,Tory Lanez,
Interlude,Kelsea Ballerini,Rolling Up the Welcome Mat
Torn (The Voice Performance),Cassadee Pope,Música Para Desconectar 3
By Design,Kid Cudi,"Passion, Pain & Demon Slayin'"
Noah,Megan Moroney,Am I Okay?
Tightrope,Zayn,Nobody Is Listening
Butterfly,Mariah Carey,Butterfly
The Way I Talk,Morgan Wallen,The Way I Talk
2018,Rod Wave,Nostalgia
Oh Okay (feat. Young Thug & Lil Baby),Gunna,Drip Season 3 (Deluxe)
Circles,Mariah Carey,The Emancipation of Mimi
Master Plan,Adam Lambert,For Your Entertainment (Deluxe Version)
Monster,Kris Allen,Thank You Camellia (Deluxe Version)
Somebody Paints The Wall,Tracy Lawrence,Sticks And Stones
Bless Your Heart,Megan Moroney,Am I Okay? (I'll Be Fine)
India Part II,Lil Durk,Apple Music Live: Lil Durk
Make My Heart,Toni Braxton,Pulse
Pluto’s Last Comet,Tory Lanez,Alone at Prom
2012 (It Ain't the End) [Feat. Nicki Minaj],Jay Sean,2012 (It Ain't The End) [feat. Nicki Minaj] - Single
Reach Out,Hilary Duff,Best of Hilary Duff
How Do I Do This,Kelsea Ballerini,Rolling Up the Welcome Mat (For Good)
Waiting for Yesterday,David Archuleta,David Archuleta (Deluxe)
Break Your Heart (ft Ludacris),Taio Cruz,
Letting Go (Dutty Love) [feat. Nicki Minaj],Sean Kingston,Letting Go (Dutty Love) [feat. Nicki Minaj] - Single
248,Lil Durk,Just Cause Y'all Waited 2
Man on the Moon,Megan Moroney,Am I Okay?
ゴーイング my 上へ,Surface,Surface
Top Off,Gunna,Drip Season 3 (Deluxe)
CAIRO,Karol G,CAIRO
We Broke Up,Kelsea Ballerini,PATTERNS [Explicit]
Shake Back,Kodak Black,Institution
Reunited,Dion,Grove
War Baby,Roddy Ricch,Please Excuse Me for Being Antisocial
Savior,Iggy Azalea,Savior
Push,Avril Lavigne,Goodbye Lullaby
Songs for Women,Frank Ocean,"nostalgia, ULTRA."
Entweder,Prism,Entweder - Single
Strawberry Swing,Frank Ocean,"nostalgia, ULTRA."
White And Nerdy,"""Weird Al"" Yankovic",Alpocalypse HD
Riding Solo,Jason Derulo,
Lookin Ass,Young Money,Rise of an Empire (Deluxe Edition)
1234,Plain White T's,
Big Girl Now,New Kids On The Block,The Block
Breathing,Jason Derulo,Future History
You and Me Together,Hannah Montana,Hannah Montana 2 / Meet Miley Cyrus
7:00,Bryson Tiller,Anniversary
Kitchen,Kid Cudi,"Passion, Pain & Demon Slayin'"
S.O.S (Let The Music Play),Jordin Sparks,Essential R&B - Spring 2011
Somebody New,Billy Ray Cyrus,The Best Of Billy Ray Cyrus: Cover To Cover
piu piu,Lulu,
Stop & Stare,OneRepublic,
Nothing On You f. Bruno Mars,B.o.B,Now That's What I Call Music! 76
I Love You,Avril Lavigne,Goodbye Lullaby
Keep on Trying,Poco,Head Over Heels
We All Try,Frank Ocean,"nostalgia, ULTRA."
The Lover in Me,Jessica Simpson,A Public Affair
We Own the Night,Selena Gomez & The Scene,
Over You (The Voice Performance),Cassadee Pope,
2040,Lil Baby,
Robot Man,Connie Francis,Die Liebe Ist Ein Seltsames Spiel
Champion,BLACKPINK,DEADLINE [Explicit]
Colorado Sunrise,3OH!3,Want
It's On Again (feat. Kendrick Lamar) - From The Amazing Spider-Man 2 Soundtrack,Alicia Keys,
Heartbreak Hotel,Tiffany,Heartbreak Hotel
Bandida Entrenada,Karol G,Tropicoqueta [Explicit]
Grove Stepper,Dion,Grove
Climax (feat. 6lack),Young Thug,On the Run
White Christmas,Faith Evans,A Faithful Christmas
GATÚBELA,Karol G,GATÚBELA
Why,Shawn Mendes,Shawn Mendes
I'm Not Your Boyfriend Baby,3OH!3,Want
City of Stars,Logic,The Incredible True Story
Over My Head,The Fray,Over My Head
Kiss Me Thru The Phone (feat Sammie),Soulja Boy Tell'em,
Two Is Better Than One (Featuring Taylor Swift),Boys Like Girls,
Sober,Kelly Clarkson,My December
City Girls,Chris Brown,
bank account (with Lil Uzi Vert),Baby Keem,
Astronaut,Simple Plan,Get Your Heart On!
HeroHeroine,Boys Like Girls,Boys Like Girls
SALUD!,The Carters,SALUD!
Off the Chain,Selena Gomez & The Scene,A Year Without Rain (Deluxe Edition)
Safari,Maxwell,Safari
Haiku,Dion,Grove
No Pressure Intro,Logic,Video Gaming Music
Man Of My Word,Lil Baby,Problem Child
looking for a star,XXXTENTACION,Revenge
The First Step,Tracy Byrd,No Ordinary Man
Millions,Young Thug,Flossin'
Anna Mae,Summer Walker,Over It (Complete Set Video Version)
Soul Food II,Logic,No Pressure
Crème Brulée,David Archuleta,Crème Brulée
Every Season,Roddy Ricch,Feed Tha Streets ll
All About You,Hilary Duff,All About You
Someone Else's Boy,Connie Francis,Connie Rocks
Play This At My Funeral (feat. Landon Cube),Lil Skies,Play This At My Funeral (feat. Landon Cube)
"A Thousand Years, Pt. 2 (feat. Steve Kazee)",Christina Perri,
Semi On Em,Gucci Mane,
On Sight,Lil Skies,Ok + Unbothered album selects
Woman's World,Cher,Closer to the Truth
Champagne Showers (feat. Natalia Kills),LMFAO,Sorry For Party Rocking - Deluxe Edition
Two Is Better Than One [ft. Taylor Swift],Boys Like Girls,
My Arms Stay Open All Night,Tanya Tucker,20 Greatest Hits
Everybody Hurts,Avril Lavigne,Goodbye Lullaby
Straight Through My Heart,Backstreet Boys,This Is Us
My Kind,Hilary Duff,Breathe In. Breathe Out.
Ghost,Katy Perry,PRISM
Intro,Shawn Mendes,Wonder
Payphone (The Voice Performance),Cassadee Pope,The Complete Season 3 Collection (The Voice Performance)
XSCAPE,Don Toliver,Life of a DON
それじゃあバイバイ,Surface,Surface
Still Around,3OH!3,Want
Hot Together,The Pointer Sisters,Hot Together
Realer,Megan Thee Stallion,Fever
Already Best Friends (feat. Chris Brown),Jack Harlow,Thats What They All Say
apologize (feat one republic),Timbaland,
夢の続きへ,Surface,Last Attraction
Swangin’ On Westheimer,Don Toliver,Mellow Bars Rap
Water,Kehlani,It Was Good Until It Wasn't
Space Junk,Wang Chung,Everybody Wang Chung Tonight... Wang Chung's Greatest Hits
Прости,Total,TOTAL: 2 [мой мир]
Memories (Featuring Kid Cudi),David Guetta,One love (Deluxe version)
Daddy's Birthday,Young Thug,Beautiful Thugger Girls
SOLD OUT,HARDY,SOLD OUT - Single
This Is Love (feat. Eva Simons),will.i.am,This Is Love (feat. Eva Simons) - Single
HIT,DaBaby,HIT
In The UK,NLE Choppa,In The UK
3:16am,Jhene Aiko,Sail Out
Too Fast,Jason Aldean,"Old Boots, New Dirt"
Bedrock (featuring Lloyd),Young Money,
Just Another Interlude,Bryson Tiller,Just Another Interlude
"You’ll Be Alright, Kid",Alex Warren,Warm & Cozy Acoustic
Sweet Yamz,Fetty Wap,Sweet Yamz
When You're Ready,Shawn Mendes,Shawn Mendes
"Perhaps, The Joy Of Giving",The Tokens,It's A Happening World (Expanded Edition)
Overdose,Ciara,Ciara
You Never Gave Up On Me,Crystal Gayle,Crystal Gayle: The Hits
December 1963,The 4 Seasons,25 Original Nr 1 Hits Volume 4 (The Hits Of 1969 To 1991)
Split/Whole Time,Lil Yachty,Split/Whole Time
Young Man's Blues,Parker McCollum,Cream of Country 2021
4X4,Don Toliver,HARDSTONE PSYCHO [Clean] [Clean]
Money On Me,Lil Tecca,Home Office Hip Hop
I 2 I,Tevin Campbell,Radio Aahs - August 1995 No. 6
Bigger Than Us,Hannah Montana,Hannah Montana 2 / Meet Miley Cyrus
turnmeup,Starz,TURNMEUP - Single
Middle of Nowhere,Selena Gomez & The Scene,When the Sun Goes Down
Certain Kind of Love,Jessie Murph,
Do It Again (feat. 2Rare),NLE Choppa,Do It Again (feat. 2Rare)
Like Dat,Kodak Black,Institution
Two Different Views,The Fixx,Ultimate Collection
On My Mind,Alex Warren,
Kikoenai Uta,The Babys,
I Can't Breathe,Parker McCollum,Probably Wrong: Session One
Sunset,Marques Houston,Mr. Houston
If I Died Last Night,Jessie Murph,drowning
This Song Saved My Life,Simple Plan,Get Your Heart On!
Georgia Peach,Latto,Sugar Honey Iced Tea [Clean] [Clean]
Handstand,Miley Cyrus,Endless Summer Vacation
I See You (Theme from Avatar),Leona Lewis,Avatar Music From The Motion Picture Music Composed And Conducted By James Horner
Legs Shakin' (Feat. Ludacris),R. Kelly,
Pocket Full of Sunshine,Natasha Bedingfield,Girls Rock
"A Little Space (feat. YUNHO, SAN, JONGHO of ATEEZ)",Pentatonix,
Дальтоник,Total,Total: 1
Dance Floor Anthem,Good Charlotte,Dance Floor Anthem
Wave (feat. Mike Sabath),Meghan Trainor,
Шива,Total,TOTAL: 2+ [live]
What Could Have Been (from the series Arcane League of Legends),Sting,
"Houston, We Got a Problem",Luke Combs,This One's for You Too (Deluxe Edition)
altar,Kehlani,ALTAR
melt,Kehlani,blue water road
SHAKE IT,NLE Choppa,"It's a (T)Rap - Rap, Trap & Hip Hop Culture"
To Make You Feel My Love,Kris Allen,Season 8 Favorite Performances
HEARD ABOUT US,The Carters,EVERYTHING IS LOVE
"El Tango De Roxanne - From ""Moulin Rouge"" Soundtrack",Jose Feliciano,
I Just Wanna Dance,Tiffany,I Just Wanna Dance - The 1st Mini Album
The Show,Jodeci,"The Show, The After Party, The Hotel"
I'm Not Alone,Calvin Harris,I'm Not Alone
Wheels Fall Off (feat. Ye),Ty Dolla $ign,WHEELS FALL OFF (feat. Ye)
In Vein,Rick Ross,Mastermind (Deluxe)
Loved Me Back to Life,Celine Dion,Loved Me Back to Life
Rave De Favela (feat. BEAM),Major Lazer,Bonde do Major Lazer
Make It Hot,Major Lazer,
This Is How We Roll,Florida Georgia Line,Here's to the Good Times...This Is How We Roll
Lonely,Imagine Dragons,Mercury - Act 1
Inseparable,Jonas Brothers,Jonas Brothers
Symptom of Your Touch,Aly & AJ,Symptom Of Your Touch / Don't Need Nothing
Love Is Pain,Fergie,Double Dutchess
Don't Let Me Stop You,Kelly Clarkson,All I Ever Wanted
Love etc.,Pet Shop Boys,Yes
FRANCE FREESTYLE,Baby Keem,DIE FOR MY BITCH
Outta My Head,Ashlee Simpson,Bittersweet World
Murdergram Deux (feat. Eminem),LL Cool J,
Sobriety,Jessie Murph,Sobriety
"1, 2 Many",Luke Combs,"1, 2 Many"
Hell of a Year,Parker McCollum,Probably Wrong
Caught Up In The Country (feat. Fisk Jubilee Singers),Rodney Atkins,Caught Up In The Country (feat. Fisk Jubilee Singers) - Single
Intro,Roddy Ricch,Please Excuse Me for Being Antisocial
bubble,Lulu,
Stomach,Aly & AJ,a touch of the beat gets you up on your feet gets you out and then into the sun
Diamond Eyes (Boom-Lay Boom-Lay Boom),Shinedown,Diamond Eyes (Boom-Lay Boom-Lay Boom)
Pose (feat. Lil Uzi Vert),Yo Gotti,Pose (feat. Lil Uzi Vert) - Single
"SIGNED, SOBER YOU",HARDY,WHERE TO FIND ME
SOS (Let the Music Play),Jordin Sparks,Essential R&B - Spring 2011
Shame,Summer Walker,Last Day Of Summer [Explicit]
Rich N***a Shit (feat. Young Thug),21 Savage & Metro Boomin,
Painted Windows,The Pussycat Dolls,Doll Domination 2.0
iPad,The Chainsmokers,iPad
강남스타일,PSY,싸이6甲 Part.1
the mockingbird & THE CROW,HARDY,the mockingbird & THE CROW - Single
4L,21 Savage,i am > i was
JoHn Muir,ScHoolboy Q,Blank Face LP
Fly Love,Jamie Foxx,Rio: Music From The Motion Picture
"Money To Blow ft. Drake, Lil Wayne",Birdman,
STREET SWEEPER (feat. Future),Gunna,WUNNA (Deluxe)
Point in My Life,Gucci Mane,Trap House 3
Pilly,Prism,Pilly - Single
Dope Love,Gucci Mane,Trap House 4
Much Better,Jonas Brothers,"Lines, Vines and Trying Times"
Gone Too Soon,Simple Plan,Get Your Heart On!
ROCKSTAR P,Baby Keem,DIE FOR MY BITCH
Dance Again feat. Pitbull,Jennifer Lopez,
Bigger,Backstreet Boys,This Is Us
Better Place (Family Harmony),Justin Timberlake,TROLLS Band Together (Original Motion Picture Soundtrack)
Carol Ann,Michael W. Smith,Freedom
Goodness Gracious,Ellie Goulding,Halcyon Days
Light Again!,Lil Nas X,Light Again!
Right Now,PSY,PSYFIVE
Motion,Khalid,Suncity [Explicit]
Sale el Sol,Shakira,Sale el Sol
Joan of Arc on the Dance Floor,Aly & AJ,We Don't Stop
Luv Is Dro (feat. Static Major & Bryson Tiller),Jack Harlow,Thats What They All Say
Rock Me Tonight (For Old Time's Sake),Freddie Jackson,Ballads
Anthem Of The Angels,Breaking Benjamin,Dear Agony
Emergency (911),Jordin Sparks,Battlefield (Deluxe Version)
Human,Ellie Goulding,Bright Lights
Shine,Mr. Big,Greatest Hits
If You've Got Love,John Michael Montgomery,Greatest Hits
I'm In Love With A Girl,Gavin DeGraw,Gavin DeGraw
Another Heart Calls,The All-American Rejects,When the World Comes Down
Mona Lisa,The All-American Rejects,
YAE ENERGY,Lil Yachty,YAE ENERGY - Single
COUNT ME IN,Lil Yachty,Lil Boat 2
Sweetest Girl,Wyclef Jean,"Just in the Mixtape, Vol. 2"
Big Girl Now (featuring Lady Gaga),New Kids On The Block,
Skyline,Khalid,Skyline
Beautiful - Interlude,Faith Evans,
Circles,Marques Houston,
Something To Believe In,The Bangles,Everything
Fire Burning On The Dancefloor,Sean Kingston,Hot Tracks Mainstream Dance 28-3
Don't Stop Believing,Journey,Greatest Hits
Breathe,Jessie J,Alive
This Plane,Wiz Khalifa,Deal Or No Deal
Watcha Say,Jason Derulo,Summer Sensation 2010
When You Touch Me,Brandy,Full Moon
Sway With Me (with GALXARA),Saweetie,
Sexy Can I (Feat. Yung Berg),Ray J,Sexy Can I (feat. Yung Berg) - Single
Hell of a Way to Go,Riley Green,Hell Of A Way To Go - Single
Love's Train,Dru Hill,Dru Hill
Little Dreams,Ellie Goulding,Bright Lights
Come and Get It,Kip Moore,Wild Ones (Deluxe)
St. Elmo's Fire,John Parr,Letter To America
Dustbowl Dance,Mumford & Sons,Live From Red Rocks
I Luv It,PSY,PSY 8th 4X2=8
Georgia Time,Riley Green,Georgia Time
Spirit Indestructible,Nelly Furtado,The Spirit Indestructible
Me and My Kind,Cody Johnson,Cowboy Like Me
Backwards,Jonas Brothers,Greetings From Your Hometown
Can't Turn You Down,Jon Pardi,California Sunrise
It's a Long Road,Dan Hill,It's a Long Road
Come home soon,The Intruders,
Was That My Life,Jo Dee Messina,Greatest Hits
BOY,Charlie Puth,Best of Charlie Puth
Sunshine,The All-American Rejects,When the World Comes Down
X Bitch (Ft. Future),21 Savage & Metro Boomin,
You're Nothing Without Me,Belinda Carlisle,Live Your Life Be Free
Eye to Eye,Tevin Campbell,
The Cattle Call,Eddy Arnold,Our Last Goodbye
Bleeding Love,Jesse McCartney,Departure
I Was Played,Kris Allen,Brand New Shoes
They Only Come Out at Night,Peter Brown,Snap (Bonus Track Version)
GHOST,Jack Harlow,Confetti
Lay Down Your Arms,Belinda Carlisle,Real
Dive - Recorded at Sound Stage Nashville,Luke Combs,Spotify Singles
AIORA,Lobo,
"Freeee (Ghost Town, Pt. 2) [feat. Ty Dolla $ign]",KIDS SEE GHOSTS,Kids See Ghosts
Beautiful Ft. Colby O'Donis And Kardinal Offishall,Akon,
a thousand years (lullaby),Christina Perri,a thousand years (lullaby)
Lost in the Middle of Nowhere (feat. Becky G),Kane Brown,Experiment Extended
Live Your Life (ft. Rihanna),T.I.,
Blinded,Third Eye Blind,A Collection
Yesterday,Toni Braxton,Pulse
Patek,Future & Lil Uzi Vert,Pluto x Baby Pluto (Deluxe)
Brother My Brother,Blessid Union Of Souls,The Singles
Blame It( ft. T-Pain),Jamie Foxx,
君と彼と僕と彼女と,Breathe,Tomorrows
Flashdance - What a Feeling (Radio Edit),Irene Cara,
Run It,Jelly Roll,Run It
Take It Like a Man,Cher,Closer to the Truth
Blame It (Feat T-Pain),Jamie Foxx,
Girl of the Summer,Kip Moore,Wild Ones (Deluxe)
"These Words (I Love You, I Love You)",Natasha Bedingfield,Now 20
Bury Me in Dixie,Riley Green,Bury Me in Dixie
Free To Be...You And Me (Reprise) - Outro,The New Seekers,
Fallin Out,Keyshia Cole,
Bato sa buhangin,Cinderella,Cinderella
Lie About Us (Feat. Nicole Scherzinger),Avant,Best Of Avant
Sun Street,Katrina And The Waves,The Best of Katrina and the Waves
We Both Deserve Each Other's Love,Jeffrey Osborne,Greatest Hits Live!
There She Goes (feat. Pitbull),Taio Cruz,TY.O (Special Edition) [Special Edition]
X Bitch (feat. Future),21 Savage & Metro Boomin,
Never Let You Down (Feat Krayzie Bone & Layzie Bone),Frankie J,
Ice Box (Prod. by Timbaland),Omarion,
Slow Burn,T.G. Sheppard,All Time Greatest Hits
